GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test,com.example.test.services,ProductoService,0,33,0,0,0,7,0,6,0,6
test,com.example.test.services,CotizacionService,0,130,6,12,0,28,6,9,0,6
test,com.example.test.services,PresupuestoService,0,33,0,0,0,7,0,6,0,6
test,com.example.test.services,ClienteService,0,31,0,0,0,7,0,6,0,6
test,com.example.test.services,MaterialService,0,33,0,0,0,7,0,6,0,6
test,com.example.test.services,PedidoService,3,322,3,39,1,70,3,24,0,6
test,com.example.test.services,EmpresaService,0,31,0,0,0,7,0,6,0,6
test,com.example.test.assemblers,CotizacionModelAssembler,0,40,0,2,0,6,0,3,0,2
test,com.example.test.assemblers,PresupuestoModelAssembler,0,40,0,2,0,6,0,3,0,2
test,com.example.test.assemblers,ClienteModelAssembler,0,34,0,0,0,4,0,2,0,2
test,com.example.test.assemblers,EmpresaModelAssembler,0,41,0,2,0,6,0,3,0,2
test,com.example.test.assemblers,PedidoModelAssembler,0,41,0,2,0,6,0,3,0,2
test,com.example.test.assemblers,MaterialModelAssembler,0,40,0,2,0,6,0,3,0,2
test,com.example.test.assemblers,ProductoModelAssembler,0,40,0,2,0,6,0,3,0,2
test,com.example.test.controller,EmpresaController,0,93,0,2,0,27,0,7,0,6
test,com.example.test.controller,EmpresaControllerV2,0,122,0,0,0,24,0,6,0,6
test,com.example.test.controller,MaterialControllerV2,0,87,0,0,0,15,0,6,0,6
test,com.example.test.controller,PresupuestoControllerV2,0,87,0,0,0,15,0,6,0,6
test,com.example.test.controller,ProductoController,0,113,0,2,0,32,0,7,0,6
test,com.example.test.controller,ClienteControllerV2,0,117,0,0,0,21,0,6,0,6
test,com.example.test.controller,ProductoControllerV2,0,87,0,0,0,15,0,6,0,6
test,com.example.test.controller,MaterialController,0,85,0,2,0,25,0,7,0,6
test,com.example.test.controller,CotizacionControllerV2,0,87,0,0,0,15,0,6,0,6
test,com.example.test.controller,ClienteController,0,93,0,2,0,27,0,7,0,6
test,com.example.test.controller,PedidoController,0,85,0,2,0,25,0,7,0,6
test,com.example.test.controller,CotizacionController,0,81,0,2,0,24,0,7,0,6
test,com.example.test.controller,PedidoControllerV2,0,91,0,0,0,15,0,6,0,6
test,com.example.test.controller,PresupuestoController,0,89,0,2,0,26,0,7,0,6
test,com.example.test.config,GlobalExceptionHandler,0,13,0,0,0,6,0,2,0,2
test,com.example.test.config,SwaggerConfig,0,17,0,0,0,4,0,2,0,2
